lat,long,city,country,lookup,temp,hum,wind,cloud,name
-10.641438183323388,-132.07033000521756,atuona,pf,"atuona,pf",79.99,74.0,14.79,44.0,"Atuona, PF"
52.42225307309727,-63.03592368133219,havre-saint-pierre,ca,"havre-saint-pierre,ca",30.2,92.0,17.22,90.0,"Havre-Saint-Pierre, CA"
33.43913300543832,-70.9668784415852,elizabeth city,us,"elizabeth city,us",45.81,93.0,13.87,90.0,"Elizabeth City, US"
2.253809730201297,37.43053462616757,marsabit,ke,"marsabit,ke",75.07,66.0,12.1,1.0,"Marsabit, KE"
13.902946127757644,48.716960248515306,bosaso,so,"bosaso,so",79.38,76.0,15.95,0.0,"Bosaso, SO"
21.400457339455713,-94.0142783095813,vega de alatorre,mx,"vega de alatorre,mx",67.44,71.0,23.04,96.0,"Vega de Alatorre, MX"
-36.41225592351336,129.3461760457517,flinders,au,"flinders,au",67.42,55.0,13.87,75.0,"Flinders, AU"
-18.224272620256215,-50.89035778371638,cacu,br,"cacu,br",70.59,92.0,4.21,100.0,"Cacu, BR"
75.21345995977944,173.96165419042802,komsomolskiy,ru,"komsomolskiy,ru",19.15,97.0,11.34,100.0,"Komsomolskiy, RU"
30.084322175397787,-20.976464619066917,los llanos de aridane,es,"los llanos de aridane,es",66.2,68.0,16.11,75.0,"Los Llanos de Aridane, ES"
34.43888839607014,151.09647187313033,hasaki,jp,"hasaki,jp",63.09,45.0,5.82,20.0,"Hasaki, JP"
54.429278422135695,-13.347449822768908,dingle,ie,"dingle,ie",47.35,59.0,10.25,84.0,"Dingle, IE"
46.02224532606559,-3.582856825564079,ploemeur,fr,"ploemeur,fr",45.21,87.0,9.17,100.0,"Ploemeur, FR"
-9.623395038803608,3.988291209250548,soyo,ao,"soyo,ao",76.86,91.0,3.09,100.0,"Soyo, AO"
3.3550319616490043,173.8771398731027,butaritari,ki,"butaritari,ki",82.53,72.0,3.11,100.0,"Butaritari, KI"
53.705584555159504,95.10320339804952,aginskoye,ru,"aginskoye,ru",10.33,42.0,4.07,0.0,"Aginskoye, RU"
22.662401450401077,65.87225098343168,keti bandar,pk,"keti bandar,pk",71.42,65.0,18.95,0.0,"Keti Bandar, PK"
-38.359733405418076,-78.66975622426423,lebu,cl,"lebu,cl",55.24,97.0,0.27,92.0,"Lebu, CL"
